Designator,Mid X,Mid Y,Rotation,Layer
AE1,108.1375,-89.465,270.0,top
C1,112.45,-86.1,180.0,bottom
D1,160.4,-72.1,0.0,top
R2,114.85,-86.8,270.0,bottom
U1,112.45,-88.3,180.0,bottom
